,annual_income,living_place,age,working_years,employed,emp_stability,has_children,owns_realty_and_car,has_contact_information,credit_window,bad_client
19125,202500,3,34,1,True,False,True,False,True,60,False
29709,135000,5,31,13,True,True,True,False,True,60,False
34972,135000,3,25,2,True,False,False,False,False,60,False
28624,99000,3,49,1,True,False,True,True,False,60,False
12909,315000,3,42,10,True,True,False,False,True,60,False
8583,166500,3,34,7,True,True,True,False,True,60,False
10456,225000,5,29,4,True,False,True,False,False,60,False
23650,270000,3,27,1,True,False,True,False,True,60,False
33058,112500,5,24,1,True,False,False,False,False,60,False
2697,135000,3,41,21,True,True,True,False,False,60,False
17058,254700,3,47,25,True,True,True,True,True,60,False
17367,202500,3,63,14,True,True,False,False,False,60,False
8052,175500,3,49,8,True,True,False,True,False,60,False
17859,157500,3,27,4,True,False,False,False,False,60,False
29109,135000,3,30,4,True,False,False,True,False,60,False
8569,180000,3,40,3,True,False,False,False,False,60,False
20405,67500,3,50,3,True,False,False,False,True,60,False
35208,202500,3,40,1,True,False,True,False,False,60,False
15669,180000,3,45,2,True,False,False,True,True,60,False
20509,94500,3,51,9,True,True,False,False,True,60,False
32034,225000,3,35,12,True,True,True,False,False,60,False
20263,90000,2,52,1,True,False,False,False,False,60,False
33764,225000,3,33,7,True,True,True,False,True,60,False
22260,135000,3,33,10,True,True,False,True,False,60,False
22306,157500,3,41,3,True,False,False,False,False,60,False
34367,112500,3,37,5,True,False,True,True,False,60,False
27611,202500,3,26,3,True,False,False,False,True,60,False
32120,67500,3,33,1,True,False,True,False,False,60,False
23067,202500,3,37,8,True,True,True,False,True,60,False
3070,112500,3,49,5,True,False,False,False,True,60,False
33971,247500,3,47,1,True,False,True,False,True,60,False
3828,135000,3,55,4,True,False,False,False,False,60,False
9714,157500,3,45,5,True,False,False,False,True,60,False
16225,157500,3,53,7,True,True,False,True,True,60,False
5196,315000,0,36,3,True,False,True,True,True,60,False
30503,112500,5,60,6,True,True,False,False,True,60,False
28043,76500,3,49,6,True,True,False,True,True,60,False
3592,67500,3,32,9,True,True,True,True,True,60,False
23353,297000,3,56,3,True,False,False,True,True,60,False
20803,58500,3,37,1,True,False,False,False,True,60,False
8094,256500,3,48,3,True,False,True,False,True,60,False
23961,144000,3,34,3,True,False,True,False,True,60,False
2198,40500,4,35,5,True,False,True,False,False,60,False
33154,112500,3,26,2,True,False,True,False,False,60,False
14162,360000,3,29,1,True,False,False,True,True,60,False
34605,270000,3,46,1,True,False,False,False,False,60,False
2633,112500,3,49,15,True,True,True,False,True,60,False
4988,270000,3,43,10,True,True,True,True,True,60,False
4612,157500,3,54,3,True,False,False,False,False,60,False
5449,67500,3,54,5,True,False,False,False,True,60,False
21741,135000,3,45,9,True,True,False,False,False,60,False
31079,112500,3,52,15,True,True,False,False,True,60,False
21250,315000,3,40,10,True,True,False,True,True,60,False
14959,189000,2,50,0,True,False,False,False,False,60,False
29426,157500,3,26,0,True,False,False,False,True,60,False
25514,315000,3,28,1,True,False,False,False,True,60,False
23647,270000,3,27,1,True,False,True,False,True,60,False
11642,112500,3,27,4,True,False,True,False,False,60,False
28524,157500,3,38,5,True,False,True,False,False,60,False
25048,270000,3,50,4,True,False,False,False,True,60,False
4472,225000,3,55,28,True,True,False,False,False,60,False
2145,202500,3,52,13,True,True,False,False,True,60,False
33589,117000,5,27,1,True,False,False,False,False,60,False
19675,99000,0,27,1,True,False,False,False,False,60,False
11085,180000,3,53,5,True,False,False,False,False,60,False
29986,247500,3,33,6,True,True,True,False,True,60,False
20571,112500,3,54,3,True,False,True,False,False,60,False
6209,225000,3,40,12,True,True,True,True,False,60,False
16869,202500,3,52,6,True,True,False,False,False,60,False
1611,67500,3,41,8,True,True,True,False,True,60,False
14160,360000,3,29,1,True,False,False,True,True,60,False
18275,270000,1,25,2,True,False,False,False,True,60,False
27389,99000,3,40,15,True,True,False,False,False,60,False
35690,90000,3,31,9,True,True,True,False,True,60,False
34087,135000,3,28,3,True,False,False,False,True,60,False
2936,157500,3,46,8,True,True,False,False,True,60,False
15414,112500,3,34,10,True,True,False,False,True,60,False
12417,135000,3,49,9,True,True,False,False,False,60,False
7866,184500,3,26,8,True,True,False,True,True,60,False
1712,270000,3,37,7,True,True,True,True,False,60,False
23765,225000,5,23,1,True,False,False,False,False,60,False
35802,225000,3,40,14,True,True,True,True,True,60,False
33231,225000,3,45,0,True,False,True,False,False,60,False
11370,292500,3,34,9,True,True,True,True,False,60,False
8225,157500,3,25,3,True,False,False,True,False,60,False
28037,180000,3,42,6,True,True,False,True,True,60,False
27426,90000,3,44,5,True,False,True,False,True,60,False
9904,90000,2,49,11,True,True,False,False,False,60,False
8462,202500,2,50,9,True,True,False,False,False,60,False
15950,135000,3,34,11,True,True,True,False,True,60,False
27794,81000,3,54,0,True,False,False,False,True,60,False
29245,112500,3,35,2,True,False,True,False,False,60,False
3728,119250,3,43,12,True,True,True,False,True,60,False
33586,337500,3,42,0,True,False,True,False,True,60,False
12995,126000,3,37,9,True,True,True,False,False,60,False
440,252000,3,29,6,True,True,False,False,False,60,False
8248,135000,3,39,16,True,True,True,True,True,60,False
33569,360000,3,30,1,True,False,True,False,True,60,False
27434,135000,0,36,1,True,False,False,False,True,60,False
34074,216000,2,35,6,True,True,True,False,True,60,False
19821,207000,3,56,1,True,False,False,False,True,60,False
17719,166500,3,61,14,True,True,False,False,True,60,False
29427,157500,3,26,0,True,False,False,False,True,60,False
11016,90000,3,30,5,True,False,False,True,False,60,False
16194,202500,3,43,24,True,True,True,False,False,60,False
20401,108000,3,54,0,True,False,False,False,True,60,False
21032,225000,3,37,17,True,True,True,False,False,60,False
4572,157500,5,24,4,True,False,False,True,True,60,False
20958,202500,3,51,3,True,False,False,False,False,60,False
22038,225000,3,44,8,True,True,False,False,True,60,False
27856,157500,3,25,0,True,False,False,False,True,60,False
13411,337500,3,43,1,True,False,False,False,True,60,False
11265,135000,3,24,1,True,False,False,True,True,60,False
34079,216000,2,35,6,True,True,True,False,True,60,False
10884,202500,3,51,3,True,False,False,False,False,60,False
13932,135000,3,27,6,True,True,True,True,False,60,False
4967,225000,3,41,9,True,True,False,False,False,60,False
14678,157500,3,38,11,True,True,True,True,True,60,False
22487,180000,3,39,1,True,False,True,True,False,60,False
13124,112500,1,39,7,True,True,True,False,False,60,False
12747,157500,3,25,4,True,False,False,True,True,60,False
25367,112500,3,39,4,True,False,True,False,False,60,False
23218,225000,3,33,10,True,True,False,True,False,60,False
9208,315000,5,40,3,True,False,False,False,False,60,False
15600,202500,3,28,2,True,False,False,True,True,60,False
19144,135000,4,37,3,True,False,False,False,False,60,False
19597,112500,3,43,4,True,False,True,False,False,60,False
23023,225000,3,35,1,True,False,False,False,False,60,False
28788,180000,3,41,6,True,True,True,False,False,60,False
12683,270000,3,37,10,True,True,False,False,False,60,False
25777,135000,3,27,5,True,False,False,True,False,60,False
10985,292500,3,36,3,True,False,True,False,False,60,False
35943,180000,3,39,8,True,True,True,True,False,60,False
18706,180000,3,26,3,True,False,True,False,False,60,False
34492,360000,3,50,6,True,True,False,False,False,60,False
13597,202500,3,32,1,True,False,True,False,False,60,False
29926,157500,3,37,10,True,True,True,False,False,60,False
5591,189000,3,35,0,True,False,False,True,True,60,False
12115,337500,3,30,5,True,False,True,False,False,60,False
7606,247500,3,50,3,True,False,False,False,False,60,False
17877,360000,3,52,28,True,True,False,False,False,60,False
35837,202500,3,43,15,True,True,False,False,False,60,False
5719,180000,3,25,2,True,False,True,False,True,60,False
14848,202500,3,44,13,True,True,False,False,False,60,False
19439,112500,3,38,7,True,True,True,True,False,60,False
23147,180000,3,43,3,True,False,True,True,False,60,False
26793,175500,3,45,0,True,False,True,False,True,60,False
18242,225000,3,64,13,True,True,False,False,False,60,False
28668,225000,3,24,1,True,False,False,True,False,60,False
10891,202500,3,37,10,True,True,True,False,False,60,False
7130,180000,3,34,4,True,False,True,True,True,60,False
24725,207000,2,56,2,True,False,False,False,False,60,False
26796,175500,3,45,0,True,False,True,False,True,60,False
16226,157500,3,53,7,True,True,False,True,True,60,False
5374,270000,3,45,7,True,True,True,False,True,60,False
27515,112500,3,32,6,True,True,False,False,True,60,False
8483,67500,3,33,2,True,False,True,False,True,60,False
10694,315000,5,34,3,True,False,True,True,False,60,False
33247,180000,3,34,8,True,True,True,False,False,60,False
7882,81000,3,42,20,True,True,True,False,False,60,False
4295,247500,3,54,3,True,False,False,False,False,60,False
18966,135000,3,58,4,True,False,False,False,True,60,False
21212,157500,3,31,2,True,False,False,False,True,60,False
31326,157500,5,32,10,True,True,True,False,False,60,False
34494,360000,3,50,6,True,True,False,False,False,60,False
21721,360000,3,26,1,True,False,False,False,True,60,False
11672,90000,3,59,4,True,False,False,False,False,60,False
32068,90000,3,31,0,True,False,False,False,True,60,False
16571,180000,3,41,1,True,False,True,False,False,60,False
6776,225000,3,41,0,True,False,True,True,True,60,False
1130,225000,3,45,11,True,True,False,True,False,60,False
34339,315000,3,28,1,True,False,False,True,True,60,False
13535,112500,3,33,5,True,False,False,False,False,60,False
22529,135000,3,36,2,True,False,False,False,True,60,False
5348,135000,3,34,7,True,True,False,False,False,60,False
10685,193500,3,57,24,True,True,False,False,False,60,False
31478,112500,3,40,2,True,False,False,True,True,60,False
34094,126000,3,62,6,True,True,False,False,True,60,False
3088,157500,2,27,5,True,False,False,True,True,60,False
15867,270000,3,26,3,True,False,False,True,False,60,False
29833,135000,3,29,3,True,False,False,False,True,60,False
17231,247500,3,49,1,True,False,False,True,True,60,False
30768,112500,3,40,7,True,True,True,False,False,60,False
18438,135000,5,42,1,True,False,False,False,True,60,False
29026,360000,3,32,0,True,False,True,False,True,60,False
17252,270000,3,54,2,True,False,False,True,False,60,False
15226,292500,3,46,9,True,True,True,False,True,60,False
30468,337500,4,49,4,True,False,False,False,True,60,False
31221,90000,3,54,8,True,True,False,False,True,60,False
28820,112500,3,27,3,True,False,True,False,True,60,False
10916,225000,4,48,11,True,True,False,False,False,60,False
31541,157500,3,34,7,True,True,False,False,False,60,False
29367,90000,3,45,1,True,False,False,False,True,60,False
31556,135000,3,66,8,True,True,False,False,True,60,False
4836,225000,2,38,9,True,True,True,False,False,60,False
19556,157500,3,58,1,True,False,False,False,False,60,False
35801,225000,3,40,14,True,True,True,True,True,60,False
34124,144000,3,52,6,True,True,False,True,True,60,False
5030,157500,3,48,29,True,True,False,False,False,60,False
16973,90000,3,54,1,True,False,False,False,True,60,False
35710,135000,3,31,4,True,False,True,False,False,60,False
10603,216000,3,29,3,True,False,True,False,False,60,False
30912,67500,3,46,15,True,True,False,False,False,60,False
11403,202500,2,31,12,True,True,True,False,False,60,False
14707,112500,3,25,4,True,False,False,False,False,60,False
20555,180000,3,39,9,True,True,False,False,False,60,False
28559,90000,5,27,2,True,False,True,False,False,60,False
24445,157500,3,29,0,True,False,False,True,False,60,False
15493,315000,3,53,11,True,True,False,False,False,60,False
28233,112500,4,43,24,True,True,False,False,False,60,False
23959,144000,3,34,3,True,False,True,False,True,60,False
26840,121500,3,31,0,True,False,True,True,True,60,False
12250,306000,3,29,3,True,False,False,False,False,60,False
21207,157500,3,31,2,True,False,False,False,True,60,False
25291,121500,3,43,0,True,False,False,True,False,60,False
16533,180000,3,41,1,True,False,False,False,True,60,False
35340,81000,3,53,2,True,False,False,False,False,60,False
16076,144000,3,30,0,True,False,True,False,False,60,False
5778,315000,3,42,15,True,True,False,True,True,60,False
23609,135000,3,44,20,True,True,False,False,True,60,False
6824,112500,3,43,3,True,False,True,True,False,60,False
36050,225000,5,26,3,True,False,False,True,False,60,False
27576,99000,5,28,1,True,False,False,False,False,60,False
9385,234000,3,42,8,True,True,False,True,False,60,False
11526,90000,3,40,7,True,True,False,False,False,60,False
19176,121500,3,56,0,True,False,False,False,False,60,False
21922,112500,3,41,4,True,False,True,False,False,60,False
20171,171000,3,47,4,True,False,False,False,False,60,False
35402,225000,3,33,8,True,True,False,True,False,60,False
1729,256500,3,30,7,True,True,False,False,True,60,False
35819,171000,2,51,5,True,False,False,False,True,60,False
14471,85500,3,38,6,True,True,False,False,False,60,False
1360,157500,3,37,11,True,True,True,True,False,60,False
4882,202500,3,39,2,True,False,False,True,False,60,False
19783,225000,3,51,8,True,True,False,False,True,60,False
550,270000,3,32,3,True,False,False,False,True,60,False
17242,135000,3,40,2,True,False,False,True,False,60,False
27027,270000,3,47,3,True,False,True,True,False,60,False
16347,180000,3,44,8,True,True,False,False,True,60,False
10284,270000,3,37,4,True,False,True,True,True,60,False
33761,225000,3,33,7,True,True,True,False,True,60,False
995,360000,3,50,21,True,True,False,False,False,60,False
17060,254700,3,47,25,True,True,True,True,True,60,False
26053,225000,3,31,5,True,False,False,False,True,60,False
31489,292500,3,28,2,True,False,True,True,True,60,False
1843,292500,3,52,12,True,True,False,True,False,60,False
2155,306000,3,25,4,True,False,True,False,False,60,False
25195,270000,1,45,18,True,True,True,False,False,60,False
12142,270000,3,36,1,True,False,True,False,True,60,False
26428,157500,3,35,8,True,True,False,False,False,60,False
19684,180000,3,42,18,True,True,True,True,False,60,False
236,90000,3,56,15,True,True,False,False,False,60,False
14036,202500,3,59,21,True,True,False,False,False,60,False
21044,112500,3,50,11,True,True,False,False,False,60,False
29194,112500,3,35,6,True,True,True,False,False,60,False
18373,225000,3,48,6,True,True,False,False,False,60,False
28332,247500,3,50,3,True,False,False,True,False,60,False
6214,123750,3,45,1,True,False,False,False,False,60,False
1760,90000,3,54,0,True,False,False,False,False,60,False
581,202500,3,42,4,True,False,False,False,True,60,False
15622,202500,3,29,8,True,True,False,True,True,60,False
26666,171000,3,37,9,True,True,True,False,True,60,False
21043,112500,3,50,11,True,True,False,False,False,60,False
31976,184500,3,43,3,True,False,True,True,False,60,False
4793,202500,3,38,5,True,False,False,False,False,60,False
21717,360000,3,26,1,True,False,False,False,True,60,False
23863,112500,3,25,6,True,True,True,False,False,60,False
18764,270000,3,37,10,True,True,False,False,True,60,False
584,198000,3,51,26,True,True,False,False,False,60,False
36294,216000,3,34,13,True,True,True,True,False,60,True
15208,292500,3,51,13,True,True,False,False,True,60,False
22879,85500,2,41,18,True,True,True,False,False,60,False
10839,139500,3,48,23,True,True,False,False,False,60,False
22606,198000,3,44,11,True,True,True,True,True,60,False
18845,292500,3,54,8,True,True,False,False,True,60,False
35822,90000,3,26,2,True,False,True,False,True,60,False
4055,157500,3,24,6,True,True,True,True,False,60,False
18080,148500,3,32,2,True,False,False,False,False,60,False
20843,126000,3,59,3,True,False,False,False,True,60,False
21898,202500,3,46,4,True,False,False,False,False,60,False
22718,360000,3,42,15,True,True,False,False,True,60,False
19847,90000,3,60,6,True,True,False,False,True,60,False
25586,225000,3,29,1,True,False,False,False,False,60,False
5620,180000,2,54,8,True,True,False,False,False,60,False
26237,126000,3,58,5,True,False,False,False,False,60,False
20295,225000,3,55,6,True,True,False,False,True,60,False
10389,135000,2,39,18,True,True,True,False,False,60,False
18648,202500,2,46,0,True,False,False,True,True,60,False
19736,270000,3,35,2,True,False,False,False,False,60,False
23438,216000,3,40,2,True,False,True,False,True,60,False
13887,225000,3,34,2,True,False,True,True,True,60,False
34894,81000,3,60,0,True,False,False,False,False,60,False
22820,247500,3,31,4,True,False,False,False,True,60,False
15467,112500,3,47,3,True,False,False,False,True,60,False
27499,225000,3,38,7,True,True,True,False,True,60,False
21257,45000,4,54,2,True,False,False,False,False,60,False
35040,135000,3,27,5,True,False,False,False,False,60,False
35994,157500,3,48,12,True,True,False,False,False,60,False
33282,112500,5,23,1,True,False,False,False,True,60,False
6192,135000,3,31,8,True,True,True,True,True,60,False
10961,157500,3,33,7,True,True,True,False,False,60,False
165,270000,3,45,3,True,False,False,True,True,60,False
25403,135000,4,34,1,True,False,True,False,False,60,False
2118,157500,2,43,5,True,False,True,False,False,60,False
15891,103500,3,53,6,True,True,False,False,True,60,False
10601,216000,3,29,3,True,False,True,False,False,60,False
18767,135000,3,59,8,True,True,False,False,False,60,False
16353,225000,3,30,4,True,False,True,False,True,60,False
27316,67500,2,46,8,True,True,False,False,True,60,False
2203,247500,3,53,3,True,False,False,True,True,60,False
19190,135000,3,41,2,True,False,False,False,False,60,False
2346,112500,5,46,2,True,False,False,False,False,60,False
987,112500,3,46,6,True,True,False,True,True,60,False
4827,315000,3,29,1,True,False,False,False,True,60,False
6614,270000,3,48,15,True,True,False,False,True,60,False
9785,247500,3,38,20,True,True,False,False,True,60,False
8491,144000,3,51,12,True,True,False,False,False,60,False
10327,360000,3,58,5,True,False,False,True,True,60,False
30899,112500,3,49,1,True,False,False,False,True,60,False
30966,216000,2,29,4,True,False,False,False,True,60,False
388,130500,3,41,13,True,True,False,False,True,60,False
5046,225000,2,37,19,True,True,True,False,False,60,False
28818,225000,3,49,3,True,False,True,False,True,60,False
18390,202500,3,38,8,True,True,True,False,True,60,True
22530,135000,3,36,2,True,False,False,False,True,60,False
4061,148500,3,40,14,True,True,True,True,False,60,False
9091,157500,3,28,2,True,False,False,False,False,60,False
12311,315000,3,32,0,True,False,True,False,False,60,False
20440,135000,3,29,8,True,True,False,False,False,60,False
25704,193500,3,50,26,True,True,False,False,False,60,False
3536,225000,3,30,3,True,False,False,True,True,60,False
27648,90000,3,25,1,True,False,True,False,True,60,False
22958,135000,3,33,4,True,False,False,True,True,60,False
10518,360000,3,42,3,True,False,True,True,False,60,False
30072,90000,3,47,3,True,False,True,False,False,60,False
6832,90000,3,38,0,True,False,True,False,False,60,False
11011,157500,3,29,3,True,False,True,True,False,60,False
32371,180000,3,49,0,True,False,False,False,True,60,False
7827,135000,5,35,2,True,False,False,False,False,60,False
32407,315000,5,32,1,True,False,True,False,True,60,False
5543,270000,3,47,0,True,False,True,True,True,60,False
7144,360000,4,38,2,True,False,False,False,True,60,False
31860,180000,3,37,2,True,False,False,False,True,60,False
11735,171000,3,54,23,True,True,False,False,True,60,False
1454,180000,3,53,5,True,False,False,False,False,60,False
31097,112500,3,28,9,True,True,False,False,False,60,False
30692,135000,3,34,6,True,True,True,False,False,60,False
15574,202500,3,41,11,True,True,True,False,True,60,False
28930,225000,3,33,7,True,True,True,False,False,60,False
27311,360000,3,35,4,True,False,False,False,True,60,False
10686,315000,5,34,3,True,False,True,True,False,60,False
10732,315000,4,46,5,True,False,False,True,False,60,False
32603,135000,3,25,2,True,False,True,False,True,60,False
6628,112500,3,38,2,True,False,True,False,True,60,False
32026,112500,3,32,11,True,True,True,False,False,60,False
17569,135000,3,48,11,True,True,False,False,False,60,False
34140,135000,3,29,5,True,False,True,False,True,60,False
11560,121500,3,29,4,True,False,True,False,False,60,False
12604,117000,3,47,12,True,True,False,False,False,60,False
21781,292500,3,40,8,True,True,True,False,True,60,False
14715,112500,3,25,4,True,False,False,False,False,60,False
26423,157500,3,35,8,True,True,False,False,False,60,False
26455,148500,3,54,7,True,True,False,False,True,60,False
1631,90000,3,51,7,True,True,False,False,False,60,False
10261,76500,3,43,24,True,True,True,False,True,60,False
17753,157500,3,34,14,True,True,True,False,False,60,False
32000,135000,3,30,4,True,False,False,False,False,60,False
20854,202500,3,33,9,True,True,True,False,False,60,False
15930,99000,3,45,24,True,True,True,False,True,60,False
29188,364500,3,22,1,True,False,False,False,False,60,False
10233,58500,3,26,2,True,False,True,False,True,60,False
5973,180000,3,50,1,True,False,False,False,False,60,False
18495,247500,3,47,2,True,False,False,True,True,60,False
3825,135000,3,55,4,True,False,False,False,False,60,False
5330,135000,3,37,6,True,True,True,True,False,60,False
5766,315000,3,42,15,True,True,False,True,True,60,False
18761,270000,3,37,10,True,True,False,False,True,60,False
31515,135000,3,30,0,True,False,True,True,True,60,False
19049,270000,3,37,3,True,False,False,True,True,60,False
12589,112500,3,34,8,True,True,False,True,True,60,False
8972,157500,3,34,1,True,False,False,True,False,60,False
18369,225000,3,48,6,True,True,False,False,False,60,False
22688,117000,3,56,6,True,True,False,False,False,60,False
13403,121500,3,30,1,True,False,True,True,False,60,False
13395,184500,2,49,3,True,False,False,False,False,60,False
15732,247500,3,33,6,True,True,True,False,True,60,False
9031,135000,3,46,4,True,False,True,False,False,60,False
16667,225000,3,57,2,True,False,False,True,True,60,False
35896,180000,3,39,8,True,True,False,False,False,60,False
32783,180000,3,27,1,True,False,False,True,False,60,False
32126,162000,3,34,3,True,False,True,False,True,60,False
24063,135000,3,39,4,True,False,True,False,True,60,False
23173,135000,3,42,13,True,True,False,True,True,60,False
3710,180000,3,56,1,True,False,False,False,False,60,False
14473,157500,3,47,6,True,True,False,False,False,60,False
23834,135000,3,42,25,True,True,True,False,True,60,False
23197,126000,3,28,2,True,False,False,True,False,60,False
31803,121500,5,27,1,True,False,True,False,False,60,False
20271,202500,5,38,14,True,True,False,False,True,60,False
2293,112500,3,41,9,True,True,True,True,True,60,False
13053,157500,3,52,1,True,False,False,True,False,60,False
27668,225000,3,32,6,True,True,False,True,False,60,False
6691,135000,3,26,7,True,True,True,False,True,60,False
15657,81000,3,42,4,True,False,False,False,False,60,False
12155,90000,3,28,6,True,True,False,False,True,60,False
12536,270000,3,45,4,True,False,False,False,False,60,False
32115,180000,3,44,16,True,True,True,False,True,60,False
17118,121500,3,35,3,True,False,True,False,False,60,False
4441,202500,3,54,9,True,True,False,False,False,60,False
23466,135000,3,25,3,True,False,True,False,False,60,False
27262,180000,3,37,14,True,True,True,False,False,60,False
34171,247500,3,32,4,True,False,False,True,False,60,False
19232,315000,3,49,11,True,True,False,False,False,60,False
3936,157500,3,31,4,True,False,False,False,False,60,False
1724,337500,3,40,3,True,False,False,True,False,60,False
14903,135000,3,43,25,True,True,True,False,False,60,False
25889,202500,3,41,14,True,True,False,False,False,60,False
11328,112500,3,33,2,True,False,True,False,False,60,False
15689,225000,3,25,5,True,False,True,False,False,60,False
24424,135000,3,27,8,True,True,True,False,True,60,False
19115,117000,3,25,2,True,False,False,False,False,60,False
24611,180000,3,41,9,True,True,True,False,False,60,False
29147,207000,3,41,1,True,False,True,False,True,60,False
7154,157500,3,32,5,True,False,False,False,True,60,False
21270,157500,3,29,0,True,False,True,True,False,60,False
13569,157500,3,44,3,True,False,True,False,False,60,False
29837,135000,3,29,3,True,False,False,False,True,60,False
34405,180000,3,38,2,True,False,True,False,False,60,False
3075,247500,3,37,3,True,False,False,False,True,60,False
10787,225000,3,57,4,True,False,False,False,False,60,False
6563,270000,3,46,10,True,True,False,False,True,60,False
21850,67500,3,30,5,True,False,True,False,True,60,False
13547,180000,3,48,29,True,True,False,False,False,60,False
6047,112500,3,47,4,True,False,False,True,False,60,False
12686,270000,3,37,10,True,True,False,False,False,60,False
25458,135000,3,51,7,True,True,True,False,False,60,False
2268,225000,3,37,1,True,False,True,False,True,60,False
5857,157500,3,26,8,True,True,False,False,True,60,False
25067,90000,3,50,2,True,False,False,False,False,60,False
18828,225000,3,36,16,True,True,True,True,False,60,False
29561,90000,3,39,2,True,False,True,False,False,60,False
5015,90000,3,41,2,True,False,True,False,False,60,False
12812,175500,3,51,1,True,False,False,False,False,60,False
16092,90000,2,38,19,True,True,True,False,True,60,False
5225,67500,3,56,13,True,True,False,False,True,60,False
25388,225000,3,31,9,True,True,False,False,True,60,False
6913,202500,3,43,6,True,True,False,False,False,60,False
20955,360000,3,39,16,True,True,False,True,True,60,False
7320,112500,2,44,4,True,False,False,False,True,60,False
31107,135000,3,36,6,True,True,True,False,True,60,False
33155,112500,3,26,2,True,False,True,False,False,60,False
2137,144000,3,49,27,True,True,False,False,True,60,False
21718,360000,3,26,1,True,False,False,False,True,60,False
32334,306000,3,34,15,True,True,False,False,False,60,False
16639,54000,3,27,2,True,False,True,False,False,60,False
18789,157500,3,60,29,True,True,False,False,False,60,False
21884,112500,3,44,4,True,False,False,False,False,60,False
27894,247500,3,29,3,True,False,True,True,False,60,False
21154,135000,3,57,10,True,True,False,False,False,60,False
13716,135000,3,28,3,True,False,False,False,True,60,False
35803,270000,3,25,0,True,False,False,False,False,60,False
1644,157500,3,45,2,True,False,False,False,False,60,False
3152,202500,3,29,8,True,True,True,False,False,60,False
35449,135000,5,37,3,True,False,True,False,False,60,False
2566,112500,3,27,4,True,False,False,True,False,60,False
32328,306000,3,34,15,True,True,False,False,False,60,False
18296,180000,3,26,0,True,False,False,False,True,60,False
30694,135000,3,34,6,True,True,True,False,False,60,False
12284,67500,3,61,5,True,False,False,False,False,60,False
24083,135000,2,30,3,True,False,True,False,True,60,False
17550,135000,3,63,1,True,False,False,False,True,60,False
11023,72000,3,46,3,True,False,True,True,False,60,False
21447,121500,3,48,4,True,False,False,True,True,60,False
30145,157500,3,42,3,True,False,False,False,True,60,False
14035,202500,3,59,21,True,True,False,False,False,60,False
4401,117000,2,36,3,True,False,False,False,False,60,False
18447,216000,3,52,20,True,True,False,False,True,60,False
11401,202500,2,31,12,True,True,True,False,False,60,False
13469,292500,3,48,2,True,False,False,False,True,60,False
9655,211500,5,40,12,True,True,False,False,True,60,False
26189,306000,3,53,1,True,False,False,True,False,60,False
4558,90000,5,28,4,True,False,True,False,False,60,False
19159,180000,3,48,4,True,False,False,False,False,60,False
17889,135000,3,51,8,True,True,False,True,True,60,False
6540,112500,3,35,3,True,False,False,False,False,60,False
17895,90000,3,27,5,True,False,True,False,True,60,False
18126,135000,3,48,6,True,True,False,False,False,60,False
14326,306000,3,40,9,True,True,False,False,True,60,False
33192,99000,3,42,1,True,False,True,False,False,60,False
26527,315000,3,30,5,True,False,True,False,True,60,False
26306,270000,3,47,8,True,True,False,True,True,60,False
16450,315000,3,32,5,True,False,True,True,False,60,False
36362,270000,3,48,1,True,False,False,True,True,60,True
28176,315000,3,42,16,True,True,True,True,False,60,False
35700,180000,3,28,0,True,False,False,False,False,60,False
25253,103500,3,32,4,True,False,True,True,False,60,False
30985,180000,3,54,20,True,True,True,False,False,60,False
15618,202500,3,29,8,True,True,False,True,True,60,False
7024,108000,3,57,1,True,False,False,True,False,60,False
36229,171000,3,55,7,True,True,False,False,False,60,True
7785,85500,3,53,5,True,False,False,False,True,60,False
29724,202500,3,44,5,True,False,True,False,True,60,False
18665,202500,3,43,13,True,True,False,False,False,60,False
27488,135000,3,22,2,True,False,False,False,True,60,False
1587,99000,2,30,7,True,True,True,False,False,60,False
14681,157500,3,38,11,True,True,True,True,True,60,False
16368,135000,3,44,3,True,False,False,True,False,60,False
20225,135000,3,50,6,True,True,False,False,True,60,False
16604,360000,3,45,11,True,True,True,False,True,60,False
7971,67500,3,41,3,True,False,True,False,False,60,False
1990,90000,3,48,10,True,True,False,False,False,60,False
17239,135000,3,40,2,True,False,False,True,False,60,False
7813,90000,3,39,1,True,False,False,False,False,60,False
24638,202500,3,35,3,True,False,True,False,True,60,False
33941,225000,3,47,7,True,True,False,False,False,60,False
1592,45000,3,38,14,True,True,False,False,True,60,False
25511,315000,3,28,1,True,False,False,False,True,60,False
28216,90000,3,45,0,True,False,False,False,True,60,False
13349,157500,3,53,8,True,True,False,True,True,60,False
11132,225000,3,29,1,True,False,False,True,False,60,False
8111,121500,3,50,22,True,True,False,False,False,60,False
32346,225000,3,41,0,True,False,False,False,False,60,False
33499,225000,4,29,4,True,False,False,False,True,60,False
5468,99000,3,49,24,True,True,False,False,False,60,False
36397,270000,2,49,4,True,False,False,False,False,60,True
102,297000,4,42,8,True,True,False,False,False,60,False
29416,166500,3,58,10,True,True,False,False,False,60,False
24019,216000,3,40,11,True,True,False,False,True,60,False
270,157500,5,43,1,True,False,False,False,False,60,False
27170,90000,3,42,9,True,True,True,True,False,60,False
8700,112500,3,43,8,True,True,False,True,True,60,False
2799,90000,3,52,9,True,True,False,False,False,60,False
19792,270000,3,45,18,True,True,False,False,False,60,False
31517,135000,3,30,0,True,False,True,True,True,60,False
19661,72000,3,54,5,True,False,False,False,True,60,False
10586,126000,3,44,8,True,True,False,False,False,60,False
